"estabelecimento","total"
"PESTANA RIO ATLANTICA HOTEL","214573,35"
"BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","195113,25"
"WINDSOR BARRA HOTEL LTDA","169649,87"
"WINDSOR ADMINISTRACAO DE HOTEIS E SERVIÇOS LTDA","155454,97"
"FIESTA BAHIA HOTEL LTDA",132520
"HOTÉIS OTHON S/A",127374
"CONDOMÍNIO DO EDIFICIO SHERATON BARRA",114499
"BLUE TREE FARIA LIMA","110720,99"
"GOLDEN TOWER HOTEIS E TURISMO LTDA","97772,32"
"CATUSSABA RESORT HOTEL LTDA","87845,1"
"PAULISTA PRAIA HOTEL SA","82031,25"
"CATUSSABA HOTEL LTDA","62534,9"
"METROPOLITAN HOTEL LTDA","57026,02"
"PREDIAL E ADMINISTRADORA  HOTEIS PLAZA S/A-SAN RAFAEL","53372,2"
"C DESIGN HOTEL EMPREENDIMENTOS IMOBILIÁRIOS SPE LTDA",51324
"RICARDO RUFINO CECILIO - ME",45700
"CÉU PALMAS HOTEL LTDA",44140
"E S ODASHIRO ORGANIZAÇÃO E EVENTOS-ME","42095,9"
"SAN MARINO HOTEL - ORGANIZAÇÃO HOTELEIRA JOMATEL LTDA","41938,5"
"HOTEL ATLANTICO RIO LTDA EPP",37800
"BOURBON IBIRAPUERA HOTEL & CONVENTION","37224,6"
"GRAN MARQUISE EMPREENDIMENTOS S.A","36211,2"
"BRASTURINVEST INV TURISTICOS S/A - PESTANA","35933,1"
"DEVILLE HOTEIS E TURISMO LTDA","34244,45"
"EPS EMPREENDIMENTOS S/A","33090,81"
"RENAISSANCE DO BRASIL HOTELARIA LTDA","30671,44"
"INGRA HOTEL LTDA",30003
"SÃO JORGE CONSTRUÇÕES E EMPREENDIMENTOS LTDA","26790,96"
"HOTEL CAIÇARA S.A","26625,5"
"HOTEL E BAR PRAIA DAS FLEXAS LIMITADA","26611,2"
"HOTEL FLIPPER",25920
"S PERS CAVALCANTI",25520
"MARULHOS ADMINISTRADORA LTDA",24768
"HOTEL ATLANTICO COPACABANA LTDA",24255
"J J HOTEIS E TURISMO LTDA",24048
"RILLO & SOUZA LTDA - ME",22090
"IBIRAPUERA PARK HOTEL","19874,25"
"MOGANO HOTEL LTDA","19276,4"
"MERCURE NORTEL","19150,95"
"REDE WINDISOR DE HOTEIS LTDA","18676,35"
"BONANÇA ADMINISTRAÇÃO DE HOTÉIS LTDA- EPP",18234
"SAN DIEGO SUITES UBERLÂNDIA","18140,36"
"YBIA HOTEIS",17564
"HOTEL POUSADA CAXIENSE LTDA",17404
"EDGAR LUIZ SIQUEIRA BARBOZA",17200
"BLUE TREE HOTEL","16786,35"
"BT PAULISTA HOTEIS LTDA","16544,85"
"GJP ADMINISTRADORA DE HOTEIS LTDA","16348,5"
"INTERCITY ADMINISTRAÇÃO HOTELEIRA SE LTDA","15749,48"
"INTER OCEANICA HOTELARIA E TURISMO  LTDA","15397,85"
"JANDAIA HOTEL LTDA",15085
"LUCSIM HOTEIS LTDA",15057
"VERDES VALES LAZER HOTEL","14958,99"
"HOTELARIA ACCOR BRASIL S/A",14784
"KONIG HOTEIS E TURISMO LTDA","14646,7"
"LAZAR COMÉRCIO DE ALIMENTOS E SERVIÇOS HOTELEIROS LTDA",14505
"LAZAR EMPREENDIMENTOS TURISTICOS SA",14220
"CIA TROPICAL DE HOTEIS AMAZONIA","14071,2"
"CPV-BPF ADMINISTRAÇÃO DE HOTEIS E RESTAURANTES LTDA","13972,7"
"HOTEL BAHAMAS LTDA-EPP",13835
"AQUARIOS PRAIA HOTEL",13540
"M.N. PORTO HOTEIS LTDA","13091,7"
"RAMADA PLAZA CURITIBA RAYON LTDA",13041
"ARCO ADM LTDA - SAN DIEGO FLAT","12864,6"
"IHC SÃO PAULO HOTELARIA LTDA","12156,39"
"ATMOSFERA HOTELARIA LTDA - ME",12150
"HOTEL DOMINGUEZ PLAZA LTDA",12019
"CASABLANCA CENTE HOTEL LTDA",12000
"EMPREENDIMENTOS TURISTICOS FRUTAL LTDA",11982
"KINO EMPEENDIMENTO HOTELEIRO LTDA","11933,25"
"IBIRAPUERA PARK HOTEL LTDA","11784,15"
"BELEM HOTEIS E TURISMO S/A","11677,05"
"CARVALHO E LEAL LTDA - EPP",11640
"ATLANTICO HOT¿IS E TURISMO EIRELI - EPP",11590
"SEHORESTE - SERVIÇOS DE HOTEIS, RESTAURANTES, TURISMO","11468,48"
"R ROCHA PORTELA E CIA LTDA EPP",10640
"HOTEL SIR LTDA","10417,5"
"MAQUINÉ EMPREENDIMENTOS S/A","10384,5"
"BEIRA RIO PALACE HOTEL LTDA",9740
"ANTONIO'S PALACE HOTEL LTDA",9360
"TULIP INN- MELONGENA PARTICIPAÇÕES LTDA",9093
"HOTEL NACIONAL INN SAO CARLOS LTDA",9003
"BERTELL HOTEIS DE TURISMO LTDA",9002
"AGUAS PALACE HOTEL DE PETROLINA LTDA",8900
"LYGIA VILALBA FALCO - EPP",8889
"J R PARK HOTEL LTDA EPP","8260,65"
"DOTEL - OPERADORA DE SERVIÇOS HOTELEIROS LTDA",7960
"VILLA GALE BRSIL - ATIVIDADES HOTELEIRAS LTDA","7927,41"
"BT MORUMBI HOTEIS LTDA","7522,2"
"RCD EMPREENDIMENTOS LTDA","7500,95"
"BRASILTON BELÉM HOTÉIS E TURISMO S.A.","7469,7"
"UNIQUE APART-HOTEL LTDA EPP",7335
"HOTEL VILA DAS PEDRAS OPERADORA DE TURISMO E EVENTOS LTDA",7282
"ARCO ADMINISTRADORA LTDA","7020,48"
"PAULO COSTA KEHDI - EPP",7020
"MARCIO TADEU FRANCISCO DAS NEVES",6400
"JDVB ADM E HOT LTDA - ARENA COPACABANA HOTEL","6375,6"
"HOTEL PORTAL D'OESTE LTDA",6010
"NORDE ADMINISTRAÇÃO DE HOTÉIS E FLATS LTDA","5728,8"
"HOTEL BELVEDERE LTDA.",5575
"MAX SAVASSI ADMINISTRAÇÃO HOTELEIRA LTDA","5488,35"
"MAX MAZZA HOTEL LTDA",5460
"AGIL CALIMAN HOTEL LTDA-ME",5258
"HOTEL DURMA BEM LTDA - EPP",5200
"HOTEL PLAZA MAYOR LIMITADA EPP","5162,85"
"HOTEL RIO DO SONO LTDA",4960
"HOTEL BOUGAINVILLE LTDA ME",4938
"PELOTAS HOTEIS MANTA",4845
"TUVIL S A HOTÉIS COMÉRCIO E INDÚSTRIA","4783,29"
"JOSE PACIFICO DOS SANTOS",4740
"IBIUNA TURISMO HOTEL - EIRELI-ME",4705
"LAZAR EMPREENDIMENTOS TURÍSTICOS S/A",4500
"HOTEIS E TURISMO FLORESTA S/A",4490
"P. 1. ADMINISTRAÇÃO EM COMPLEXOS IMOBILIARIOS LTDA","4410,1"
"WINDSOR PALACE HOTEL LTDA","4116,48"
"TRANSAMERICA COMERCIAL SERVIÇOS LTDA","3953,25"
"IPE CENTER HOTEL LTDA",3870
"NORTE BUSINESS HOTELARIA E TURISMO LTDA","3726,45"
"LAHOTELS EMPREENDIMENTOS 1 LTDA","3663,9"
"HOTEL PRESIDENTE LTDA",3660
"HOTEL PREMIUM NORTE LTDA",3128
"FEMA HOTEL LTDA",3036
"OTHON PALACE BELO HORIZONTE",3036
"SANTOS DUMONT INVEST. IMOBILIARIO S/A - NOVOTEL RJ SANTOS DUMONT","2832,9"
"CLAUDIO MARTINS DE SOUSA NEIVA",2800
"BT AIRPORT HOTEIS LTDA","2614,5"
"HOTEL CASTELO DO NESMAG LTDA",2610
"IRMÃOS ALVES EMPREENDIMENTOS TURÍSTICOS LTDA",2580
"HOTEL DEVILLE GUARULHOS LTDA","2309,44"
"WINDSOR ADMINISTRAÇÃO DE HOTEIS E SERVIÇOS LTDA",2079
"HOTEL GLORIA S/A","1987,51"
"SERRA PALACE HOTEL",1735
"IRFATUR TURISMO E HOTELARIA S/A","1600,5"
"MARIA DOS HUMILDES RAMOS ME",1570
"HABITUR TURISMO LTDA","1540,2"
"HOTEL MOUNT EVEREST LTDA ME","1515,14"
"ITA SUN ADMINISTRAÇÃO DE CONDOMÍNIOS LTDA",1400
"COPACABANA RIO HOTEL S/A",1276
"BRUNA ANDREIA V ANTONIUK",1250
"HOTEL PACARAIMA - RR",1190
"PEDRO BURACK ME",1105
"ALVAS & BATEZATI LTDA",1100
"HOTEL ARATUR LTDA",1100
"TURIS FIRPER HOTEL LTDA",780
"BARRUDADA PALACE HOTEL LTDA",750
"HOTÉIS PAMPLONA LTDA - EPP",746
"BLUE TREE TOWERS - HOTELS & RESORTS DO BRASIL S/A","745,68"
"MARIA DO SOCORRO DE SOUSA COELHO",640
"MONIELLE MENEZES DA SILVA - EPP",600
"LUIZ ANTONIO GONTARZ",560
"LUIZ LEMES MARTINS - ME",480
"J.F.R. BOMBONATO HOTEL LTDA",400
"M.F. SAMPAIO DA SILVA",340
"HOTEIS E RESORTS DO BRASIL S/A","263,42"
"REDE NOBRE DE HOTELARIA LTDA",151
"HOTEIS DONA DINA LTDA",140
"BRUNA GARDENAL ROBUSTI & CIA LTDA EPP",130
